elephant_num,call_id,call_type,sound_file,start_time,end_time,duration,clean_path,status
1,1,rumble,04-040920-02_vehicle_1.wav,30.6492,33.41613926,2.766939260000001,elephant voice/clean_clips/elephant1.wav,ok
2,2,rumble,04-040920-02_vehicle_1.wav,32.0326,36.39585037,4.363250369999996,elephant voice/clean_clips/elephant2.wav,ok
3,3,rumble,04-040920-02_vehicle_1.wav,33.3097,40.75915185,7.449451850000003,elephant voice/clean_clips/elephant3.wav,ok
4,4,rumble,04-040920-02_vehicle_2.wav,25.7693,30.23897111,4.46967111,elephant voice/clean_clips/elephant4.wav,ok
5,5,rumble,04-040920-03_vehicle_noise_1.wav,19.0842,24.51165778,5.427457780000001,elephant voice/clean_clips/elephant5.wav,ok
6,6,rumble,04-040920-03_vehicle_noise_1.wav,24.2989,26.00163185,1.7027318499999993,elephant voice/clean_clips/elephant6.wav,ok
7,7,rumble,04-040920-03_vehicle_noise_1.wav,25.6218,27.75021481,2.128414809999999,elephant voice/clean_clips/elephant7.wav,ok
8,8,rumble,04-040920-03_vehicle_noise_1.wav,26.8988,31.31526074,4.416460739999998,elephant voice/clean_clips/elephant8.wav,ok
9,9,rumble,04-040920-03_vehicle_noise_1.wav,125.0646,128.6829052,3.6183051999999947,elephant voice/clean_clips/elephant9.wav,ok
10,10,rumble,04-061218-25_vehicle_noise_1.wav,13.5536,15.46917333,1.9155733300000009,elephant voice/clean_clips/elephant10.wav,ok
11,11,rumble,04-061218-25_vehicle_noise_1.wav,24.6745,27.97354296,3.2990429600000013,elephant voice/clean_clips/elephant11.wav,ok
12,12,rumble,04-061218-25_vehicle_noise_1.wav,29.6763,33.02855333,3.35225333,elephant voice/clean_clips/elephant12.wav,ok
13,13,rumble,061220-24_airplane_01.wav,23.8035,25.39981111,1.596311110000002,elephant voice/clean_clips/elephant13.wav,ok
14,14,rumble,090224-09_generator_01.wav,50.5826,53.45596,2.873359999999998,elephant voice/clean_clips/elephant14.wav,ok
15,15,rumble,090224-09_generator_01.wav,115.4863,124.10638,8.620080000000002,elephant voice/clean_clips/elephant15.wav,ok
16,16,rumble,090224-09_generator_01.wav,152.7774,157.6195437,4.842143700000008,elephant voice/clean_clips/elephant16.wav,ok
17,17,rumble,090224-09_generator_01.wav,273.6229,277.6136778,3.9907777999999894,elephant voice/clean_clips/elephant17.wav,ok
18,18,rumble,090224-09_generator_01.wav,280.2742,282.8282978,2.5540977999999654,elephant voice/clean_clips/elephant18.wav,ok
19,19,rumble,1989-06_airplane_01.wav,15.1885,21.89300667,6.704506669999999,elephant voice/clean_clips/elephant19.wav,ok
20,20,rumble,1989-06_airplane_01.wav,54.7481,58.73887778,3.990777780000002,elephant voice/clean_clips/elephant20.wav,ok
